community,count,2020,2021,2022,2023,2024,2025,2026
240,16,19.6165,16.3284,18.6512,30.9258,0.0,17.8577,0.0
182,15,0.0,8.65,19.1486,12.692,8.8889,0.0,0.0
176,12,9.3441,23.2678,6.3153,13.5422,0.0,23.8139,0.0
32,12,19.1482,1.166,19.7476,13.6767,18.9951,3.6542,0.0
196,11,25.3031,17.7636,36.836,22.7534,24.6318,0.0,0.0
24,11,0.0,13.7211,30.4371,13.0866,12.4101,22.57,0.0
195,11,61.5327,16.6615,4.3332,10.9978,44.119,13.504,0.0
160,10,11.2054,25.9482,10.5483,0.0,11.1213,33.114,0.0
162,10,15.0255,33.4836,20.7422,76.473,0.2057,40.1985,0.0
22,9,23.7064,14.0,20.4839,0.0,0.0,20.549,0.0
226,8,4.7825,3.2681,0.0,14.8413,1.1869,0.0,0.0
236,8,7.3226,1.9256,7.5814,11.541,0.0,0.0,0.0
237,7,14.2328,14.4845,24.4195,25.5865,0.0,12.0797,0.0
158,7,11.1948,14.4865,18.4618,0.0,23.6236,59.5116,0.0
178,4,0.0,0.8209,0.0,20.6236,6.3496,11.6314,0.0
10,2,0.0,97.5608,0.0,0.0,0.0,16.3926,0.0
277,1,0.0,0.0,0.0,0.0,131.9385,0.0,0.0
