sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,beds,baths,address,city,zipcode,property_type,h3_07,community
2025-10-02,885000.0,"3218-31st-Ave-W,-Seattle,-WA-98199",47.649336,-122.396597,930.0,6360.0,1950.0,,2.0,1.0,"3218 31st Ave W, Seattle, WA 98199",Seattle,98199,Single Family,8728d5474ffffff,9
2025-10-02,940000.0,"11251-28th-Ave-SW,-Seattle,-WA-98146",47.5013,-122.36888,2990.0,12224.0,1963.0,,5.0,2.0,"11251 28th Ave SW, Seattle, WA 98146",Seattle,98146,Single Family,8728d5574ffffff,9
2025-10-03,600000.0,"6605-S-127th-Pl,-Seattle,-WA-98178",47.488693,-122.251755,2300.0,7750.0,1960.0,,4.0,2.0,"6605 S 127th Pl, Seattle, WA 98178",Seattle,98178,Single Family,8728d5504ffffff,38
2025-10-03,645000.0,"9304-32nd-Ave-SW,-Seattle,-WA-98126",47.519662,-122.374106,810.0,5200.0,1950.0,,3.0,1.0,"9304 32nd Ave SW, Seattle, WA 98126",Seattle,98126,Single Family,8728d5574ffffff,9
2025-10-03,2850000.0,"1015-165th-Pl-NE,-Bellevue,-WA-98008",47.619061,-122.119561,1190.0,7500.0,1959.0,,3.0,1.0,"1015 165th Pl NE, Bellevue, WA 98008",Bellevue,98008,Single Family,8728d558cffffff,59
2025-10-03,3400000.0,"8048-Crest-Dr-NE,-Seattle,-WA-98115",47.687569,-122.273862,3010.0,15375.0,1941.0,,4.0,3.0,"8048 Crest Dr NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d540effffff,59
2025-10-03,1320000.0,"1603-Ne-70th-St,-Seattle,-WA-98115",47.679189,-122.310709,1050.0,5355.0,1922.0,,2.0,1.0,"1603 Ne 70th St, Seattle, WA 98115",Seattle,98115,Single Family,8728d5408ffffff,9
2025-10-03,755000.0,"12715-Dayton-Ave-N,-Seattle,-WA-98133",47.721899,-122.353168,1710.0,7650.0,1952.0,,3.0,1.5,"12715 Dayton Ave N, Seattle, WA 98133",Seattle,98133,Single Family,8728d5450ffffff,59
2025-10-03,1562500.0,"13209-7th-Ave-NW,-Seattle,-WA-98177",47.725432,-122.365392,2520.0,8158.0,1950.0,,3.0,4.0,"13209 7th Ave NW, Seattle, WA 98177",Seattle,98177,Single Family,8728d5450ffffff,59
2025-10-03,530000.0,"334-Garden-Ave-N,-Renton,-WA-98057",47.487642,-122.200107,980.0,4120.0,1925.0,,2.0,1.0,"334 Garden Ave N, Renton, WA 98057",Renton,98057,Single Family,8728d5531ffffff,38
2025-10-03,604000.0,"9809-57th-Ave-S,-Seattle,-WA-98118",47.512999,-122.262385,1480.0,4000.0,1908.0,,3.0,1.5,"9809 57th Ave S, Seattle, WA 98118",Seattle,98118,Single Family,8728d5501ffffff,38
2025-10-03,1950000.0,"2816-S-Hudson-St,-Seattle,-WA-98108",47.557364,-122.296071,3060.0,9505.0,1979.0,,3.0,3.5,"2816 S Hudson St, Seattle, WA 98108",Seattle,98108,Single Family,8728d5508ffffff,38
2025-10-03,6000000.0,"505-18th-Ave,-Kirkland,-WA-98033",47.689071,-122.199775,1940.0,57230.0,1983.0,,4.0,2.0,"505 18th Ave, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d541effffff,59
2025-10-03,3875000.0,"9779-Ne-South-Beach-Dr,-Bainbridge-Island,-WA-98110",47.574512,-122.520508,3774.0,15682.0,1990.0,,4.0,1.5,"9779 Ne South Beach Dr, Bainbridge Island, WA 98110",Bainbridge Island,98110,Single Family,8728d556bffffff,-1
2025-10-06,3695000.0,"3812-E-Crockett-St,-Seattle,-WA-98112",47.637594,-122.283339,4360.0,9000.0,1969.0,,5.0,3.0,"3812 E Crockett St, Seattle, WA 98112",Seattle,98112,Single Family,8728d5405ffffff,7
2025-10-06,1585000.0,"2534-57th-Ave-SW,-Seattle,-WA-98116",47.580209,-122.40488,2620.0,4520.0,2012.0,,3.0,2.5,"2534 57th Ave SW, Seattle, WA 98116",Seattle,98116,Single Family,8728d5542ffffff,9
