sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,beds,baths,address,city,zipcode,property_type,h3_07,community
2025-11-03,425000.0,"9222-Roosevelt-Way-NE,-Apt-302,-Seattle,-WA-98115",47.696532,-122.317153,919.0,15231.0,1999.0,,2.0,2.0,"9222 Roosevelt Way NE, Apt 302, Seattle, WA 98115",Seattle,98115,Condo,8728d540bffffff,9
2025-11-03,1615000.0,"7503-32nd-Ave-NE,-Seattle,-WA-98115",47.68321,-122.293815,2810.0,5100.0,1953.0,,5.0,3.0,"7503 32nd Ave NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d540effffff,59
2025-11-03,770000.0,"11219-4th-Pl-S,-Seattle,-WA-98168",47.502439,-122.328657,3400.0,18700.0,1992.0,,5.0,3.0,"11219 4th Pl S, Seattle, WA 98168",Seattle,98168,Single Family,8728d5528ffffff,38
2025-11-03,575000.0,"6115-S-Cooper-St,-Seattle,-WA-98178",47.511535,-122.256326,2160.0,7203.0,2022.0,,3.0,2.5,"6115 S Cooper St, Seattle, WA 98178",Seattle,98178,Single Family,8728d5500ffffff,38
2025-11-03,50000.0,"8031-31st-Ave-NW,-Seattle,-WA-98117",47.687668,-122.39731,1660.0,5080.0,1927.0,,4.0,1.0,"8031 31st Ave NW, Seattle, WA 98117",Seattle,98117,Single Family,8728d5473ffffff,9
2025-11-03,325000.0,"4309-34th-Ave-W,-Apt-102,-Seattle,-WA-98199",47.65964,-122.40086,680.0,11642.0,1996.0,,1.0,1.0,"4309 34th Ave W, Apt 102, Seattle, WA 98199",Seattle,98199,Condo,8728d5475ffffff,9
2025-11-03,1500000.0,"314-17th-Ave,-Kirkland,-WA-98033",47.688834,-122.203235,1820.0,7794.0,1968.0,,4.0,2.0,"314 17th Ave, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d541effffff,59
2025-11-03,1010000.0,"12443-86th-Pl-NE,-Kirkland,-WA-98034",47.713196,-122.226708,1090.0,8889.0,1986.0,,3.0,1.5,"12443 86th Pl NE, Kirkland, WA 98034",Kirkland,98034,Single Family,8728d5418ffffff,59
2025-11-03,1800000.0,"2709-S-Ferdinand-St,-Seattle,-WA-98108",47.558009,-122.297677,3680.0,5001.0,2020.0,,5.0,3.5,"2709 S Ferdinand St, Seattle, WA 98108",Seattle,98108,Single Family,8728d550bffffff,38
2025-11-03,1330000.0,"3027-Nw-69th-St,-Seattle,-WA-98117",47.678526,-122.396882,2320.0,2500.0,2014.0,,4.0,2.5,"3027 Nw 69th St, Seattle, WA 98117",Seattle,98117,Single Family,8728d5470ffffff,9
2025-11-03,495000.0,"1760-Nw-56th-St,-Apt-608,-Seattle,-WA-98107",47.669678,-122.381655,759.0,,2015.0,,1.0,1.0,"1760 Nw 56th St, Apt 608, Seattle, WA 98107",Seattle,98107,Condo,8728d5470ffffff,9
2025-11-03,1000000.0,"5701-Seaview-Ave-NW,-Apt-301,-Seattle,-WA-98107",47.670629,-122.405482,1987.0,5968.0,1974.0,,3.0,2.0,"5701 Seaview Ave NW, Apt 301, Seattle, WA 98107",Seattle,98107,Condo,8728d5470ffffff,9
2025-11-03,950000.0,"9244-Dayton-Ave-N,-Seattle,-WA-98103",47.697342,-122.352276,1090.0,8245.0,1916.0,,2.0,1.5,"9244 Dayton Ave N, Seattle, WA 98103",Seattle,98103,Single Family,8728d5409ffffff,9
2025-11-03,1120000.0,"1101-Nw-62nd-St,-Seattle,-WA-98107",47.673638,-122.371609,1260.0,3240.0,1930.0,,3.0,1.0,"1101 Nw 62nd St, Seattle, WA 98107",Seattle,98107,Single Family,8728d5472ffffff,9
2025-11-03,1615000.0,"6733-9th-Ave-NW,-Seattle,-WA-98117",47.67876,-122.369057,1510.0,5350.0,1912.0,,3.0,2.0,"6733 9th Ave NW, Seattle, WA 98117",Seattle,98117,Single Family,8728d5472ffffff,9
2025-11-04,1730000.0,"14702-Se-80th-Ct,-Newcastle,-WA-98059",47.530366,-122.145012,3210.0,7796.0,1989.0,,4.0,2.5,"14702 Se 80th Ct, Newcastle, WA 98059",Newcastle,98059,Single Family,8728d5510ffffff,7
2025-11-04,1365000.0,"6816-128th-Ave-NE,-Kirkland,-WA-98033",47.666889,-122.169018,1310.0,9498.0,1955.0,,3.0,1.5,"6816 128th Ave NE, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d5410ffffff,59
2025-11-04,1229000.0,"4524-Corliss-Ave-N,-Seattle,-WA-98103",47.662164,-122.330979,1350.0,5700.0,1902.0,,3.0,1.0,"4524 Corliss Ave N, Seattle, WA 98103",Seattle,98103,Single Family,8728d542bffffff,9
2025-11-04,1420000.0,"3636-Greenwood-Ave-N,-Seattle,-WA-98103",47.653585,-122.35521,1510.0,5000.0,1908.0,,3.0,1.5,"3636 Greenwood Ave N, Seattle, WA 98103",Seattle,98103,Single Family,8728d5476ffffff,9
2025-11-04,1310000.0,"8814-Earl-Ave-NW,-Seattle,-WA-98117",47.693224,-122.39157,2580.0,6150.0,1971.0,,4.0,3.0,"8814 Earl Ave NW, Seattle, WA 98117",Seattle,98117,Single Family,8728d5473ffffff,9
2025-11-04,12988200.0,"535-13th-Ave-E,-Seattle,-WA-98102",47.624016,-122.316012,451.0,,1953.0,,0.0,1.0,"535 13th Ave E, Seattle, WA 98102",Seattle,98102,Apartment,8728d542effffff,9
2025-11-04,2750000.0,"627-155th-Ave-SE,-Bellevue,-WA-98007",47.603831,-122.134177,1460.0,8470.0,1960.0,,3.0,2.0,"627 155th Ave SE, Bellevue, WA 98007",Bellevue,98007,Single Family,8728d55abffffff,59
2025-11-04,599950.0,"2341D-16th-Ave-S,-Seattle,-WA-98144",47.581764,-122.312363,1180.0,,,,2.0,2.0,"2341D 16th Ave S, Seattle, WA 98144",Seattle,98144,Single Family,8728d5425ffffff,9
2025-11-04,555000.0,"1717-Ne-Edmonds-Ave,-Renton,-WA-98056",47.507766,-122.186033,2010.0,10816.0,1945.0,,3.0,1.0,"1717 Ne Edmonds Ave, Renton, WA 98056",Renton,98056,Single Family,8728d5515ffffff,10
2025-11-05,900000.0,"3631-Meridian-Ave-N,-Seattle,-WA-98103",47.651399,-122.334219,1440.0,4800.0,1909.0,,3.0,1.5,"3631 Meridian Ave N, Seattle, WA 98103",Seattle,98103,Single Family,8728d542bffffff,9
2025-11-05,1250000.0,"3031-34th-Ave-W,-Seattle,-WA-98199",47.647827,-122.40136,1750.0,6000.0,1941.0,,3.0,1.5,"3031 34th Ave W, Seattle, WA 98199",Seattle,98199,Single Family,8728d5474ffffff,9
2025-11-05,743000.0,"2418-S-Irving-St,-Seattle,-WA-98144",47.591461,-122.300434,2020.0,4600.0,1905.0,,4.0,2.0,"2418 S Irving St, Seattle, WA 98144",Seattle,98144,Multi-Family,8728d5425ffffff,9
2025-11-05,973500.0,"2705-Franklin-Ave-E,-Seattle,-WA-98102",47.644708,-122.324876,1290.0,1045.0,2014.0,,3.0,2.5,"2705 Franklin Ave E, Seattle, WA 98102",Seattle,98102,Single Family,8728d5428ffffff,9
2025-11-05,1800000.0,"4878-Beach-Dr-SW,-Seattle,-WA-98116",47.557683,-122.400872,3120.0,6875.0,1968.0,,4.0,2.5,"4878 Beach Dr SW, Seattle, WA 98116",Seattle,98116,Single Family,8728d5546ffffff,9
2025-11-05,488500.0,"2801-Ne-130th-St,-Apt-C101,-Seattle,-WA-98125",47.722666,-122.297057,1341.0,33453.0,1995.0,,2.0,1.5,"2801 Ne 130th St, Apt C101, Seattle, WA 98125",Seattle,98125,Condo,8728d54e4ffffff,9
2025-11-06,1720000.0,"7734-57th-Ave-NE,-Seattle,-WA-98115",47.685495,-122.266894,2720.0,5952.0,1968.0,,5.0,3.5,"7734 57th Ave NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d541dffffff,58
2025-11-06,488000.0,"3661-Phinney-Ave-N,-Apt-101,-Seattle,-WA-98103",47.653997,-122.354656,821.0,25000.0,1969.0,,2.0,1.0,"3661 Phinney Ave N, Apt 101, Seattle, WA 98103",Seattle,98103,Condo,8728d5476ffffff,9
2025-11-06,836000.0,"4308-Sw-Portland-St,-Seattle,-WA-98136",47.533125,-122.387908,1420.0,5248.0,1944.0,,2.0,2.0,"4308 Sw Portland St, Seattle, WA 98136",Seattle,98136,Single Family,8728d5570ffffff,9
2025-11-06,650000.0,"3028-26th-Ave-W,-Seattle,-WA-98199",47.647721,-122.38993,630.0,2696.0,1931.0,,1.0,1.0,"3028 26th Ave W, Seattle, WA 98199",Seattle,98199,Single Family,8728d5474ffffff,9
2025-11-06,750000.0,"11616-Seola-Beach-Dr-SW,-Burien,-WA-98146",47.498954,-122.374027,1950.0,17573.0,1985.0,,3.0,2.0,"11616 Seola Beach Dr SW, Burien, WA 98146",Burien,98146,Single Family,8728d5cdaffffff,30
2025-11-06,1225000.0,"8026-39th-Ave-NE,-Seattle,-WA-98115",47.687495,-122.286027,1910.0,6000.0,1945.0,,4.0,1.5,"8026 39th Ave NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d540effffff,59
2025-11-06,1325000.0,"444-26th-Ave-E,-Seattle,-WA-98112",47.623963,-122.298429,2570.0,2500.0,1998.0,,3.0,3.0,"444 26th Ave E, Seattle, WA 98112",Seattle,98112,Single Family,8728d542effffff,9
2025-11-06,865000.0,"105-Nw-39th-St,-Unit-C,-Seattle,-WA-98107",47.653996,-122.358002,1284.0,,,,3.0,2.0,"105 Nw 39th St, Unit C, Seattle, WA 98107",Seattle,98107,Townhouse,8728d5476ffffff,9
2025-11-06,3125636.0,"10500-51st-Ave-S,-Seattle,-WA-98178",47.506671,-122.26974,613.0,,1979.0,,1.0,1.0,"10500 51st Ave S, Seattle, WA 98178",Seattle,98178,Apartment,8728d5505ffffff,38
2025-11-07,685000.0,"1522-Ne-97th-St,-Seattle,-WA-98115",47.69968,-122.311002,1350.0,5109.0,1929.0,,2.0,2.0,"1522 Ne 97th St, Seattle, WA 98115",Seattle,98115,Multi-Family,8728d540bffffff,9
2025-11-07,855000.0,"10009-45th-Ave-NE,-Seattle,-WA-98125",47.701516,-122.280449,1860.0,9448.0,1961.0,,4.0,1.0,"10009 45th Ave NE, Seattle, WA 98125",Seattle,98125,Single Family,8728d540affffff,59
2025-11-07,1300000.0,"3830-165th-Pl-SE,-Bellevue,-WA-98008",47.575998,-122.118649,2500.0,13419.0,1983.0,,3.0,2.0,"3830 165th Pl SE, Bellevue, WA 98008",Bellevue,98008,Single Family,8728d55aeffffff,7
