Unnamed: 0,sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,h3_07,h3_10,price_per_sqft,h3_08,community
5888,2020-08-19,670000,4.0,47.4462950726124,-122.184432347442,1900,6969,1959,0,600,1300,7,6,3,1.0,4,1,1,0,0,0,8728d5c9affffff,8a28d55349a7fff,352.63157894736844,8828d55349fffff,105
5889,2020-08-18,1042000,3.0,47.4287824093929,-122.032552398976,2230,72745,1994,0,0,1290,8,0,3,2.0,4,2,0,1,0,980,8728d4271ffffff,8a28d4271a77fff,467.2645739910314,8828d4271bfffff,64
5890,2020-08-19,330000,4.0,47.5190045769931,-122.353543831599,750,4125,1943,0,0,750,6,0,3,1.0,2,1,0,0,0,0,8728d5576ffffff,8a28d557612ffff,440.0,8828d55761fffff,5
5894,2020-08-20,1688000,3.0,47.6771389355521,-122.386101500786,1250,5100,1909,0,0,970,6,0,3,1.5,3,1,0,0,0,0,8728d5470ffffff,8a28d5470617fff,1350.4,8828d54707fffff,9
5896,2020-08-22,2260000,2.0,47.6119092815399,-121.95278898051,6140,57499,1997,0,0,4310,12,0,3,2.0,5,3,0,1,0,910,8728d5596ffffff,8a28d559638ffff,368.07817589576547,8828d55963fffff,100
5897,2020-08-21,550000,2.0,47.6981558255319,-122.298308037248,1220,8329,1946,0,0,1220,6,0,3,1.0,3,1,0,0,0,0,8728d540affffff,8a28d540aa47fff,450.8196721311475,8828d540abfffff,9
5898,2020-08-25,1600000,3.0,47.6705460571383,-122.310217942486,2360,5400,1919,0,650,1210,7,6,3,1.5,5,1,1,0,0,0,8728d540cffffff,8a28d540c0cffff,677.9661016949152,8828d540c1fffff,9
5901,2020-08-24,65000,3.0,47.3313413236993,-122.504184089435,844,4202,1956,1997,0,844,6,0,3,1.0,2,1,0,0,0,0,8728d5c09ffffff,8a28d5c090cffff,77.01421800947867,8828d5c091fffff,130
5902,2020-08-27,590000,9.0,47.7144571093607,-122.285799095117,670,7312,1942,0,0,670,5,0,3,1.0,2,1,0,0,0,0,8728d54e4ffffff,8a28d54e488ffff,880.5970149253732,8828d54e49fffff,9
5904,2020-08-26,701600,4.0,47.5916070402263,-122.146720251474,2040,5720,1962,0,1020,1020,7,6,3,1.0,5,1,0,0,0,0,8728d55abffffff,8a28d55ab947fff,343.921568627451,8828d55ab9fffff,139
