sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft
2020-03-16,1940000,3.0,47.70883744746132,-122.22486693539352,3470,17100,1972,0,740,2730,10,8,3,1.0,3,1,2,0,0,0
2020-03-17,610000,2.0,47.48954693024289,-122.08746925359712,1850,435600,1950,0,0,1370,6,0,4,2.0,2,2,0,0,0,0
2020-03-20,925000,3.0,47.71253589838609,-122.28623136169158,1630,9525,1933,0,0,1150,7,0,4,1.5,4,2,0,0,0,0
2020-03-25,930000,,47.64568631762947,-122.39521949350568,1530,6223,1950,0,290,1240,8,4,3,1.0,3,1,1,0,0,0
2020-03-24,2478600,3.0,47.63829600199151,-122.40194150953312,1780,5000,1939,0,600,1180,8,4,3,1.0,4,1,1,0,0,0
2020-04-01,645000,4.0,47.51602979259471,-122.362263820436,2340,8797,1997,0,800,1540,7,7,3,1.0,4,2,1,0,0,340
2020-03-19,650000,4.0,47.39387644619769,-122.4528275493028,1250,27542,1971,0,0,1250,7,0,3,1.0,3,1,0,0,0,0
2020-04-09,255000,4.0,47.773164435669,-121.4921103868042,640,13125,1970,0,0,640,5,0,3,1.0,2,1,0,0,0,0
2020-04-09,697000,,47.486552102532734,-122.16361524057812,1670,31200,1960,0,0,1670,7,0,4,1.0,2,1,1,0,0,0
2020-04-10,1090000,2.0,47.773695405698554,-122.21135434734347,1950,13264,1969,0,0,1950,8,0,3,1.0,3,1,1,0,0,0
2020-04-02,580000,2.0,47.44801060703658,-122.29008380714698,1670,9425,1943,0,0,1670,6,0,4,1.0,2,1,0,1,0,0
2020-04-08,685000,,47.30637316221567,-122.397217048516,3370,9997,1990,0,0,1560,10,0,3,2.0,0,0,0,0,0,890
2020-04-14,875000,4.0,47.67536168544669,-122.29399368101296,1090,5000,1922,0,0,820,7,0,3,1.5,4,1,0,0,0,0
2020-04-08,485000,2.0,47.47660914480498,-122.32547339645438,1530,15975,1952,0,560,970,7,7,3,1.0,3,1,0,0,0,0
2020-04-09,297000,3.0,47.49239005100385,-122.3333459445008,1660,14250,1950,0,0,1660,7,0,3,1.0,3,1,0,1,0,0
2020-04-10,660000,3.0,47.70426780740644,-122.37236938950676,960,6930,1949,0,0,960,7,0,3,1.0,2,1,0,0,0,360
2020-04-13,1250000,2.0,47.41323650504994,-122.45386566057137,1440,641203,1990,0,0,940,7,0,3,2.0,2,2,0,0,0,0
2020-04-14,630000,2.0,47.513720307731475,-122.2704059471464,2450,12983,1953,0,900,1550,7,6,3,1.0,4,2,0,0,0,0
2020-03-27,540000,1.0,47.46262051387148,-122.27936177909022,2230,11648,1962,0,730,1500,7,5,3,1.0,3,1,1,1,680,0
2020-04-21,1000000,2.0,47.6208962224665,-122.29819080069645,1850,3480,1979,0,290,690,7,7,3,2.5,3,1,0,1,300,0
2020-04-20,699995,,47.38388528903228,-122.0089041173956,1970,8466,1985,0,330,1010,7,6,3,2.0,3,2,1,1,680,240
2020-04-15,420000,,47.4480578282156,-122.28468563641528,1590,10000,1997,0,0,1590,7,0,3,1.0,3,2,0,0,0,400
2020-04-25,1080000,2.0,47.67555341252112,-122.31009353319294,2290,4080,1910,0,400,1410,7,7,4,1.5,4,3,0,0,0,0
2020-04-24,985000,4.0,47.603044370725506,-122.3020299162404,1550,4061,1907,0,0,810,7,0,4,1.5,3,1,0,1,0,0
2020-04-27,790000,2.0,47.75076752742928,-122.22414916272048,2930,13200,1977,0,1240,1690,9,9,3,1.0,4,1,2,0,480,0
2020-04-15,649900,3.0,47.52669174064111,-122.31634495178656,720,6000,1940,0,0,720,5,0,3,1.0,1,1,0,0,0,0
