id,address,latitude,longitude,lastSalePrice,squareFootage,lotSize,bedrooms,bathrooms,propertyType,lastSaleDate
"8626-Ne-121st-Pl,-Kirkland,-WA-98034","8626 Ne 121st Pl, Kirkland, WA 98034",47.709740,-122.225988,1935000,3260,14872,3,2.5,Single Family,2025-10-24
"11644-100th-Ave-NE,-Apt-308,-Kirkland,-WA-98034","11644 100th Ave NE, Apt 308, Kirkland, WA 98034",47.705061,-122.207932,537000,1135,110149,2,2.0,Condo,2025-10-14
"9902-Ne-124th-St,-Apt-1202,-Kirkland,-WA-98034","9902 Ne 124th St, Apt 1202, Kirkland, WA 98034",47.711266,-122.209413,494000,937,401370,2,1.5,Condo,2025-11-13
"9704-Ne-124th-St,-Kirkland,-WA-98034","9704 Ne 124th St, Kirkland, WA 98034",47.711532,-122.212151,1010000,1220,7244,3,1.5,Single Family,2026-01-06
"12221-94th-Pl-NE,-Kirkland,-WA-98034","12221 94th Pl NE, Kirkland, WA 98034",47.710429,-122.215229,1005000,2100,9632,4,1.5,Single Family,2025-12-03
"9641-Ne-121st-Ln,-Kirkland,-WA-98034","9641 Ne 121st Ln, Kirkland, WA 98034",47.709234,-122.211729,600000,1088,1264,2,1.5,Single Family,2025-10-01
"9637-Ne-121st-Ln,-Kirkland,-WA-98034","9637 Ne 121st Ln, Kirkland, WA 98034",47.709232,-122.211876,545000,1098,1416,2,1.5,Single Family,2025-11-07
"12009-100th-Ave-NE,-Apt-1,-Kirkland,-WA-98034","12009 100th Ave NE, Apt 1, Kirkland, WA 98034",47.707916,-122.208307,540350,1257,22147,3,2.0,Condo,2025-10-09
"12221-100th-Ave-NE,-Apt-103,-Kirkland,-WA-98034","12221 100th Ave NE, Apt 103, Kirkland, WA 98034",47.710264,-122.207852,300000,654,40214,1,1.0,Condo,2025-10-03
"10016-Ne-124th-Pl,-Kirkland,-WA-98034","10016 Ne 124th Pl, Kirkland, WA 98034",47.711780,-122.206927,500000,1266,111976,2,2.0,Condo,2025-10-01
"12630-100th-Ln-NE,-Unit-G131,-Kirkland,-WA-98034","12630 100th Ln NE, Unit G131, Kirkland, WA 98034",47.715544,-122.206802,445000,980,421322,2,1.0,Condo,2025-12-17
"12510-109th-Ct-NE,-Apt-E101,-Kirkland,-WA-98034","12510 109th Ct NE, Apt E101, Kirkland, WA 98034",47.712101,-122.196680,485000,1138,408480,3,2.0,Condo,2025-10-01
"11722-Ne-112th-St,-Kirkland,-WA-98033","11722 Ne 112th St, Kirkland, WA 98033",47.701380,-122.183895,1775000,2560,8576,4,2.5,Single Family,2025-10-14
"11609-Ne-111th-St,-Kirkland,-WA-98033","11609 Ne 111th St, Kirkland, WA 98033",47.699305,-122.186052,1941618,2770,8569,4,2.5,Single Family,2025-10-17
"11618-Ne-111th-St,-Kirkland,-WA-98033","11618 Ne 111th St, Kirkland, WA 98033",47.699691,-122.185849,2905000,1250,9702,3,1.0,Single Family,2025-10-14
"11136-108th-Ave-NE,-Kirkland,-WA-98033","11136 108th Ave NE, Kirkland, WA 98033",47.700115,-122.197438,1150500,990,3489,2,1.0,Single Family,2025-10-10
"522-19th-Ave,-Kirkland,-WA-98033","522 19th Ave, Kirkland, WA 98033",47.691632,-122.199012,2200000,2320,7500,3,2.0,Single Family,2025-10-08
"12315-Ne-97th-St,-Apt-G,-Kirkland,-WA-98033","12315 Ne 97th St, Apt G, Kirkland, WA 98033",47.687692,-122.177290,515000,1050,145855,2,1.5,Condo,2025-09-29
"11849-Ne-105th-Ln,-Kirkland,-WA-98033","11849 Ne 105th Ln, Kirkland, WA 98033",47.693328,-122.182214,1160000,1420,6075,3,1.5,Single Family,2025-10-14
"8258-133rd-Ave-NE,-Redmond,-WA-98052","8258 133rd Ave NE, Redmond, WA 98052",47.677032,-122.162131,4000000,1530,9984,3,2.0,Single Family,2025-10-23
"12835-Ne-80th-St,-Kirkland,-WA-98033","12835 Ne 80th St, Kirkland, WA 98033",47.675084,-122.167783,3250000,1940,10396,4,2.0,Single Family,2025-10-23
"7728-131st-Ave-NE,-Kirkland,-WA-98033","7728 131st Ave NE, Kirkland, WA 98033",47.673438,-122.164982,1520000,1970,8314,3,2.0,Single Family,2025-10-31
"13307-Ne-77th-St,-Redmond,-WA-98052","13307 Ne 77th St, Redmond, WA 98052",47.672705,-122.162510,1100000,1940,12449,4,1.0,Single Family,2025-12-22
"13222-Ne-70th-St,-Kirkland,-WA-98033","13222 Ne 70th St, Kirkland, WA 98033",47.668297,-122.162956,4200000,1430,12096,3,1.0,Single Family,2025-10-17
"13305-Ne-74th-St,-Redmond,-WA-98052","13305 Ne 74th St, Redmond, WA 98052",47.670936,-122.162461,1155000,1290,7746,3,1.5,Single Family,2025-10-21
"7512-132nd-Ave-NE,-Kirkland,-WA-98033","7512 132nd Ave NE, Kirkland, WA 98033",47.672030,-122.163445,1430000,840,18282,3,1.0,Single Family,2025-10-28
"6816-128th-Ave-NE,-Kirkland,-WA-98033","6816 128th Ave NE, Kirkland, WA 98033",47.666889,-122.169018,1365000,1310,9498,3,1.5,Single Family,2025-11-04
"7020-127th-Ave-NE,-Kirkland,-WA-98033","7020 127th Ave NE, Kirkland, WA 98033",47.668678,-122.170527,2279950,1308,1542,2,1.5,Townhouse,2025-12-10
"7407-127th-Ave-NE,-Kirkland,-WA-98033","7407 127th Ave NE, Kirkland, WA 98033",47.671044,-122.171089,1315000,4143,9736,5,3.5,Single Family,2026-01-08
"12709-Ne-80th-Ln,-Kirkland,-WA-98033","12709 Ne 80th Ln, Kirkland, WA 98033",47.675856,-122.170775,1300000,1400,12000,3,2.0,Single Family,2025-10-21
"215-9th-St,-Apt-D102,-Kirkland,-WA-98033","215 9th St, Apt D102, Kirkland, WA 98033",47.677249,-122.191911,525000,988,177650,2,2.0,Condo,2025-11-12
"1111-Kirkland-Ave,-Unit-3A,-Kirkland,-WA-98033","1111 Kirkland Ave, Unit 3A, Kirkland, WA 98033",47.675049,-122.189485,372000,695,5000,1,1.0,Condo,2025-12-30
"6552-116th-Pl-NE,-Kirkland,-WA-98033","6552 116th Pl NE, Kirkland, WA 98033",47.664864,-122.184474,1300000,1640,7910,4,1.5,Single Family,2025-10-31
"11206-Ne-68th-St,-Apt-224,-Kirkland,-WA-98033","11206 Ne 68th St, Apt 224, Kirkland, WA 98033",47.666814,-122.190646,270000,720,321500,1,1.0,Condo,2025-10-15
"11206-Ne-68th-St,-Apt-223,-Kirkland,-WA-98033","11206 Ne 68th St, Apt 223, Kirkland, WA 98033",47.666814,-122.190646,273000,720,321500,1,1.0,Condo,2025-10-16
"6717-110th-Ave-NE,-Apt-A4,-Kirkland,-WA-98033","6717 110th Ave NE, Apt A4, Kirkland, WA 98033",47.666243,-122.194171,690000,1216,55600,2,2.0,Condo,2025-10-10
"11310-Ne-60th-St,-Kirkland,-WA-98033","11310 Ne 60th St, Kirkland, WA 98033",47.661310,-122.189278,2165000,2620,15623,4,2.5,Single Family,2025-09-29
"5906-112th-Pl-NE,-Kirkland,-WA-98033","5906 112th Pl NE, Kirkland, WA 98033",47.660439,-122.189756,1540336,2220,8602,3,1.5,Single Family,2025-10-21
"420-8th-Ave,-Kirkland,-WA-98033","420 8th Ave, Kirkland, WA 98033",47.681567,-122.200625,1525000,940,7200,2,1.0,Single Family,2025-10-07
"1006-5th-St,-Kirkland,-WA-98033","1006 5th St, Kirkland, WA 98033",47.683280,-122.199026,2335000,4170,9664,6,5.0,Single Family,2025-09-29
"405-13th-Ave,-Kirkland,-WA-98033","405 13th Ave, Kirkland, WA 98033",47.685442,-122.199961,1320000,1530,7000,3,1.5,Single Family,2025-10-16
"116-12th-Ave,-Kirkland,-WA-98033","116 12th Ave, Kirkland, WA 98033",47.684877,-122.207731,3500000,3030,5996,4,2.5,Single Family,2025-10-17
"137-13th-Ave,-Kirkland,-WA-98033","137 13th Ave, Kirkland, WA 98033",47.685296,-122.206893,2040000,1600,9000,4,1.0,Single Family,2025-11-10
"1504-3rd-St,-Kirkland,-WA-98033","1504 3rd St, Kirkland, WA 98033",47.687468,-122.204146,1260000,3278,5410,4,4.5,Single Family,2025-10-08
"1506-3rd-St,-Kirkland,-WA-98033","1506 3rd St, Kirkland, WA 98033",47.687496,-122.204157,1260000,1490,9375,3,1.5,Single Family,2025-10-08
"505-18th-Ave,-Kirkland,-WA-98033","505 18th Ave, Kirkland, WA 98033",47.689071,-122.199775,6000000,1940,57230,4,2.0,Single Family,2025-10-03
"325-18th-Ave,-Kirkland,-WA-98033","325 18th Ave, Kirkland, WA 98033",47.689158,-122.203154,3075000,960,14055,3,1.0,Single Family,2025-11-10
"314-17th-Ave,-Kirkland,-WA-98033","314 17th Ave, Kirkland, WA 98033",47.688834,-122.203235,1500000,1820,7794,4,2.0,Single Family,2025-11-03
"4510-48th-Ave-NE,-Seattle,-WA-98105","4510 48th Ave NE, Seattle, WA 98105",47.661731,-122.275754,2225000,3560,6254,4,3.5,Single Family,2025-10-30
"5801-55th-Ave-Ne-Unit-A,-Seattle,-WA-98105","5801 55th Ave Ne Unit A, Seattle, WA 98105",47.670479,-122.269001,830000,1590,1703,3,2.5,Townhouse,2026-01-28
"5606-59th-Ave-NE,-Seattle,-WA-98105","5606 59th Ave NE, Seattle, WA 98105",47.669503,-122.264221,1295000,2000,6600,3,1.5,Single Family,2025-11-14
